iter	Passed	Remaining
150	487	2741
151	489	2732
152	491	2719
153	493	2713
154	496	2706
155	498	2695
156	500	2685
157	501	2675
158	503	2665
159	506	2659
160	508	2652
161	511	2646
162	513	2636
163	515	2625
164	516	2615
165	518	2605
166	520	2595
167	522	2586
168	525	2582
169	527	2575
170	529	2565
171	530	2556
172	532	2546
173	534	2536
174	536	2527
175	539	2524
176	541	2517
177	543	2509
178	545	2500
179	546	2491
180	548	2481
181	549	2471
182	551	2461
183	553	2456
184	556	2451
185	558	2443
186	559	2434
187	561	2426
188	563	2418
189	565	2410
190	567	2402
191	569	2396
192	571	2390
193	573	2382
194	575	2374
195	576	2366
196	578	2358
197	580	2350
198	581	2341
199	584	2338
200	586	2333
201	588	2324
202	590	2317
203	592	2310
204	593	2302
205	595	2294
206	596	2286
207	599	2283
208	601	2276
209	603	2269
210	605	2262
211	606	2254
212	608	2246
213	609	2238
214	611	2230
215	612	2223
216	614	2217
217	616	2210
218	617	2202
219	619	2195
220	620	2188
221	622	2181
222	624	2174
223	625	2168
224	627	2162
225	630	2158
226	632	2154
227	634	2149
228	636	2142
229	638	2136
230	639	2130
231	641	2123
232	643	2118
233	645	2113
234	647	2108
235	649	2102
236	650	2095
237	652	2089
238	654	2083
239	655	2076
240	657	2070
241	659	2067
242	662	2062
243	663	2057
244	665	2051
245	667	2046
246	669	2039
247	670	2033
248	672	2026
249	674	2022
250	676	2018
251	677	2012
252	679	2006
253	681	2000
254	682	1993
255	683	1987
256	685	1981
257	686	1974
258	688	1969
259	690	1965
260	691	1958
261	693	1953
262	695	1947
263	696	1941
264	698	1936
265	699	1930
266	701	1925
267	703	1922
268	706	1918
269	707	1913
270	709	1908
271	711	1903
272	712	1898
273	714	1892
274	715	1887
275	717	1882
276	719	1878
277	721	1873
278	722	1868
279	724	1862
280	725	1857
281	727	1851
282	728	1846
283	730	1841
284	731	1835
285	733	1831
286	735	1826
287	736	1821
288	738	1816
289	739	1811
290	741	1806
291	742	1800
292	744	1796
293	745	1790
294	747	1786
295	750	1783
296	752	1780
297	754	1776
298	755	1772
299	757	1768
300	759	1763
301	761	1759
302	762	1754
303	764	1751
304	766	1747
305	768	1742
306	769	1737
307	771	1733
308	773	1729
309	774	1724
310	776	1720
311	778	1716
312	780	1713
313	782	1709
314	784	1705
315	785	1701
316	787	1696
317	788	1691
318	790	1686
319	791	1682
320	793	1678
321	795	1675
322	797	1672
323	799	1668
324	801	1664
325	803	1661
326	805	1657
327	806	1653
328	808	1649
329	810	1646
330	812	1642
331	814	1638
332	816	1635
333	818	1632
334	820	1628
335	821	1624
336	823	1620
337	825	1617
338	827	1613
339	829	1609
340	830	1604
341	831	1600
342	833	1596
343	834	1591
344	836	1587
345	837	1583
346	839	1580
347	841	1576
348	843	1572
349	844	1568
350	846	1564
351	847	1560
352	849	1556
353	850	1552
354	852	1548
355	853	1544
356	855	1541
357	857	1537
358	859	1534
359	860	1530
360	862	1527
361	864	1522
362	865	1518
363	867	1515
364	868	1511
365	870	1508
366	872	1504
367	873	1500
368	875	1497
369	877	1493
370	878	1489
371	880	1486
372	881	1482
373	883	1478
374	885	1476
375	887	1472
376	888	1468
377	890	1464
378	891	1461
379	893	1457
380	894	1453
381	895	1449
382	897	1445
383	899	1442
384	901	1440
385	903	1436
386	904	1433
387	906	1429
388	908	1426
389	909	1423
390	911	1420
391	913	1416
392	915	1414
393	917	1411
394	919	1407
395	920	1404
396	921	1400
397	923	1396
398	925	1393
399	926	1389
400	928	1386
401	930	1383
402	931	1380
403	933	1377
404	935	1373
405	936	1370
406	938	1366
407	939	1363
408	940	1359
409	942	1356
410	944	1353
411	946	1350
412	948	1347
413	950	1344
414	951	1341
415	953	1338
416	955	1335
417	956	1332
418	958	1329
419	961	1327
420	962	1323
421	964	1320
422	965	1316
423	967	1313
424	968	1310
425	970	1307
426	971	1303
427	972	1300
428	974	1297
429	976	1294
430	977	1290
431	979	1287
432	980	1284
433	982	1280
434	983	1277
435	985	1274
436	987	1271
437	988	1268
438	990	1266
439	992	1262
440	993	1259
441	995	1256
442	996	1253
443	998	1249
444	999	1246
445	1001	1243
446	1002	1240
447	1004	1237
448	1005	1234
449	1007	1231
450	1008	1228
451	1010	1225
452	1011	1221
453	1013	1218
454	1014	1215
455	1016	1212
456	1017	1209
457	1019	1206
458	1021	1203
459	1022	1200
460	1024	1197
461	1025	1194
462	1026	1191
463	1028	1187
464	1029	1184
465	1031	1181
466	1032	1178
467	1034	1176
468	1036	1173
469	1038	1170
470	1039	1167
471	1041	1165
472	1043	1162
473	1044	1159
474	1045	1156
475	1047	1152
476	1048	1149
477	1050	1147
478	1052	1145
479	1054	1142
480	1056	1139
481	1058	1137
482	1059	1134
483	1061	1131
484	1062	1128
485	1064	1125
486	1066	1122
487	1067	1120
488	1069	1117
489	1070	1114
490	1072	1111
491	1073	1108
492	1075	1105
493	1076	1102
494	1078	1100
495	1079	1097
496	1081	1094
497	1082	1091
498	1084	1088
499	1086	1086
500	1087	1083
501	1089	1080
502	1090	1077
503	1092	1074
504	1093	1071
505	1095	1069
506	1097	1066
507	1098	1064
508	1100	1061
509	1101	1058
510	1103	1055
511	1104	1053
512	1106	1050
513	1107	1047
514	1109	1044
515	1111	1042
516	1113	1039
517	1114	1037
518	1116	1034
519	1118	1032
520	1120	1029
521	1121	1027
522	1123	1024
523	1124	1021
524	1126	1019
525	1128	1016
526	1129	1013
527	1131	1011
528	1132	1008
529	1134	1005
530	1135	1003
531	1137	1000
532	1139	998
533	1141	996
534	1143	993
535	1144	991
536	1146	988
537	1148	986
538	1150	983
539	1151	980
540	1153	978
541	1155	976
542	1157	974
543	1159	971
544	1161	969
545	1162	966
546	1164	963
547	1165	961
548	1166	958
549	1168	956
550	1170	953
551	1172	951
552	1173	948
553	1175	946
554	1176	943
555	1178	940
556	1179	938
557	1181	935
558	1182	932
559	1184	930
560	1185	927
561	1187	925
562	1189	923
563	1191	920
564	1192	918
565	1194	915
566	1195	913
567	1197	910
568	1198	908
569	1200	905
570	1202	903
571	1204	901
572	1206	898
573	1207	896
574	1209	894
575	1211	891
576	1213	889
577	1215	887
578	1217	885
579	1219	882
580	1220	880
581	1222	877
582	1223	875
583	1225	873
584	1227	870
585	1228	868
586	1231	866
587	1233	864
588	1235	862
589	1237	860
590	1239	857
591	1241	855
592	1243	853
593	1245	850
594	1247	848
595	1248	846
596	1250	844
597	1252	841
598	1253	839
599	1255	836
600	1257	834
601	1258	832
602	1260	829
603	1262	827
604	1263	825
605	1265	822
606	1266	820
607	1268	817
608	1269	815
609	1271	812
610	1272	810
611	1274	808
612	1276	806
613	1278	803
614	1280	801
615	1281	799
616	1283	796
617	1284	794
618	1286	791
619	1287	789
620	1289	786
621	1291	784
622	1293	782
623	1295	780
624	1296	778
625	1298	775
626	1299	773
627	1301	770
628	1302	768
629	1304	765
630	1305	763
631	1307	761
632	1309	759
633	1310	756
634	1312	754
635	1313	751
636	1315	749
637	1316	746
638	1317	744
639	1319	742
640	1321	739
641	1322	737
642	1324	735
643	1325	732
644	1327	730
645	1328	728
646	1330	725
647	1331	723
648	1333	721
649	1335	718
650	1336	716
651	1338	714
652	1340	712
653	1342	710
654	1343	707
655	1345	705
656	1346	702
657	1348	700
658	1349	698
659	1351	696
660	1353	694
661	1354	691
662	1356	689
663	1358	687
664	1359	684
665	1361	682
666	1362	680
667	1364	678
668	1365	675
669	1367	673
670	1369	671
671	1370	669
672	1372	666
673	1373	664
674	1375	662
675	1376	659
676	1378	657
677	1379	655
678	1381	653
679	1383	650
680	1384	648
681	1386	646
682	1387	644
683	1389	641
684	1390	639
685	1392	637
686	1393	634
687	1394	632
688	1396	630
689	1398	628
690	1399	625
691	1401	623
692	1402	621
693	1404	619
694	1405	616
695	1406	614
696	1408	612
697	1409	609
698	1411	607
699	1413	605
700	1414	603
701	1416	601
702	1417	598
703	1419	596
704	1420	594
705	1422	592
706	1423	589
707	1425	587
708	1427	585
709	1429	583
710	1430	581
711	1432	579
712	1434	577
713	1435	575
714	1437	572
715	1438	570
716	1440	568
717	1442	566
718	1443	564
719	1445	562
720	1446	559
721	1448	557
722	1449	555
723	1451	553
724	1452	550
725	1454	548
726	1455	546
727	1457	544
728	1459	542
729	1460	540
730	1462	538
731	1463	535
732	1465	533
733	1466	531
734	1468	529
735	1469	527
736	1471	525
737	1473	523
738	1475	521
739	1477	519
740	1478	516
741	1480	514
742	1481	512
743	1483	510
744	1484	508
745	1486	506
746	1488	503
747	1489	501
748	1491	499
749	1492	497
750	1493	495
751	1495	493
752	1496	490
753	1498	488
754	1499	486
755	1501	484
756	1502	482
757	1504	480
758	1506	478
759	1507	476
760	1509	473
761	1510	471
762	1512	469
763	1513	467
764	1515	465
765	1516	463
766	1518	461
767	1520	459
768	1521	457
769	1523	454
770	1524	452
771	1526	450
772	1527	448
773	1529	446
774	1530	444
775	1539	444
776	1541	442
777	1542	440
778	1543	437
779	1544	435
780	1545	433
781	1547	431
782	1549	429
783	1550	427
784	1552	425
785	1553	423
786	1555	420
787	1556	418
788	1558	416
789	1559	414
790	1561	412
791	1562	410
792	1564	408
793	1566	406
794	1567	404
795	1569	402
796	1570	400
797	1572	397
798	1573	395
799	1575	393
800	1576	391
801	1579	389
802	1580	387
803	1582	385
804	1583	383
805	1585	381
806	1586	379
807	1588	377
808	1590	375
809	1591	373
810	1593	371
811	1595	369
812	1597	367
813	1598	365
814	1600	363
815	1601	361
816	1603	359
817	1604	357
818	1606	355
819	1608	353
820	1610	351
821	1611	349
822	1613	346
823	1614	344
824	1616	342
825	1617	340
826	1619	338
827	1620	336
828	1621	334
829	1623	332
830	1625	330
831	1627	328
832	1629	326
833	1631	324
834	1632	322
835	1634	320
836	1636	318
837	1637	316
838	1639	314
839	1641	312
840	1643	310
841	1644	308
842	1646	306
843	1647	304
844	1649	302
845	1650	300
846	1652	298
847	1654	296
848	1655	294
849	1657	292
850	1658	290
851	1660	288
852	1661	286
853	1663	284
854	1664	282
855	1665	280
856	1667	278
857	1669	276
858	1670	274
859	1672	272
860	1673	270
861	1674	268
862	1676	266
863	1677	264
864	1679	262
865	1680	260
866	1681	258
867	1683	256
868	1685	254
869	1687	252
870	1688	250
871	1690	248
872	1691	246
873	1693	244
874	1694	242
875	1696	240
876	1697	238
877	1699	236
878	1701	234
879	1703	232
880	1704	230
881	1706	228
882	1707	226
883	1709	224
884	1710	222
885	1712	220
886	1714	218
887	1716	216
888	1718	214
889	1720	212
890	1721	210
891	1723	208
892	1724	206
893	1726	204
894	1727	202
895	1730	200
896	1732	198
897	1733	196
898	1735	194
899	1736	192
900	1738	191
901	1739	189
902	1741	187
903	1743	185
904	1744	183
905	1746	181
906	1748	179
907	1749	177
908	1751	175
909	1752	173
910	1754	171
911	1755	169
912	1757	167
913	1758	165
914	1760	163
915	1761	161
916	1763	159
917	1764	157
918	1766	155
919	1767	153
920	1769	151
921	1770	149
922	1772	147
923	1774	145
924	1775	143
925	1777	142
926	1778	140
927	1780	138
928	1782	136
929	1783	134
930	1785	132
931	1786	130
932	1788	128
933	1790	126
934	1791	124
935	1793	122
936	1795	120
937	1796	118
938	1798	116
939	1799	114
940	1801	112
941	1802	110
942	1804	109
943	1805	107
944	1807	105
945	1808	103
946	1810	101
947	1811	99
948	1813	97
949	1814	95
950	1816	93
951	1818	91
952	1820	89
953	1822	87
954	1823	85
955	1825	84
956	1827	82
957	1828	80
958	1830	78
959	1832	76
960	1833	74
961	1835	72
962	1837	70
963	1838	68
964	1841	66
965	1842	64
966	1844	62
967	1845	61
968	1847	59
969	1848	57
970	1851	55
971	1852	53
972	1854	51
973	1855	49
974	1857	47
975	1858	45
976	1860	43
977	1861	41
978	1863	39
979	1864	38
980	1866	36
981	1868	34
982	1869	32
983	1871	30
984	1872	28
985	1874	26
986	1875	24
987	1877	22
988	1878	20
989	1880	18
990	1882	17
991	1883	15
992	1885	13
993	1886	11
994	1888	9
995	1889	7
996	1890	5
997	1892	3
998	1893	1
999	1895	0
